"sampleID","genotype","treatment_protocol","timepoint","fullSampleID","sex","experimentalBatch","treatment","genotype_treatment","genotype_timepoint","genotype_timepoint_treatment","genotype_timepoint_treatment_batch","seq_run","cell_set","sampleID_original","sampleID_unique"
"SAB51","D21","No Treatment","D10","S3D21_D10_ctrl_3","F","3","CTRL","D21_CTRL","D21_D10","D21_D10_CTRL","D21_D10_CTRL_3","1","Set3","SAB51","Set3_SAB51"
"SAB52","T21","No Treatment","D10","S3T21 _D10_ctrl_3","F","3","CTRL","T21_CTRL","T21_D10","T21_D10_CTRL","T21_D10_CTRL_3","1","Set3","SAB52","Set3_SAB52"
"SAB53","D21","1uM RA D3-D5","D10","S3D21_D10_RA_3","F","3","RA","D21_RA","D21_D10","D21_D10_RA","D21_D10_RA_3","1","Set3","SAB53","Set3_SAB53"
"SAB54","T21","1uM RA D3-D5","D10","S3T21 _D10_RA_3","F","3","RA","T21_RA","T21_D10","T21_D10_RA","T21_D10_RA_3","1","Set3","SAB54","Set3_SAB54"
"SAB01","D21","No Treatment","D3","S4D21_D3_NT_1","M","1","CTRL","D21_CTRL","D21_D3","D21_D3_CTRL","D21_D3_CTRL_1","1","Set4","SAB01","Set4_SAB01"
"SAB02","T21","No Treatment","D3","S4T21_D3_NT_1","M","1","CTRL","T21_CTRL","T21_D3","T21_D3_CTRL","T21_D3_CTRL_1","1","Set4","SAB02","Set4_SAB02"
"SAB03","D21","No Treatment","D4","S4D21_D4_NT_1","M","1","CTRL","D21_CTRL","D21_D4","D21_D4_CTRL","D21_D4_CTRL_1","1","Set4","SAB03","Set4_SAB03"
"SAB04","T21","No Treatment","D4","S4T21_D4_NT_1","M","1","CTRL","T21_CTRL","T21_D4","T21_D4_CTRL","T21_D4_CTRL_1","1","Set4","SAB04","Set4_SAB04"
"SAB05","D21","1uM RA D3-D5","D4","S4D21_D4_RA_1","M","1","RA","D21_RA","D21_D4","D21_D4_RA","D21_D4_RA_1","1","Set4","SAB05","Set4_SAB05"
"SAB06","T21","1uM RA D3-D5","D4","S4T21_D4_RA_1","M","1","RA","T21_RA","T21_D4","T21_D4_RA","T21_D4_RA_1","1","Set4","SAB06","Set4_SAB06"
