"well","sample","plate","exp_no","cell","treatment_label","treatment","day","day_lb","dbl_neg","isl_pos","islctnt_pos","ctnt_pos","tot_isl","tot_ctnt","set","genotype"
"B6","S2D21_D9_1uM_RA_3",2,3,"S2D21","1uM RA","RA",9,"D9",51.8,1.12,9.49,37.6,10.61,47.09,"S2","D21"
"B7","S2D21_D10_1uM_RA_3",2,3,"S2D21","1uM RA","RA",10,"D10",39.3,0.64,3.65,56.4,4.29,60.05,"S2","D21"
"B8","S2T21_D4_1uM_RA_3",2,3,"S2T21","1uM RA","RA",4,"D4",47.2,52.6,0.069,0.14,52.669,0.209,"S2","T21"
"B9","S2T21_D5_1uM_RA_3",2,3,"S2T21","1uM RA","RA",5,"D5",48.8,49.1,1.66,0.47,50.76,2.13,"S2","T21"
"B10","S2T21_D6_1uM_RA_3",2,3,"S2T21","1uM RA","RA",6,"D6",53.8,21.9,18.3,5.97,40.2,24.27,"S2","T21"
"B11","S2T21_D7_1uM_RA_3",2,3,"S2T21","1uM RA","RA",7,"D7",58.8,15,17,9.21,32,26.21,"S2","T21"
"B12","S2T21_D8_1uM_RA_3",2,3,"S2T21","1uM RA","RA",8,"D8",56.3,5.66,17.5,20.6,23.16,38.1,"S2","T21"
"C1","S2T21_D9_1uM_RA_3",2,3,"S2T21","1uM RA","RA",9,"D9",42.4,2.97,14.1,40.6,17.07,54.7,"S2","T21"
"C2","S2T21_D10_1uM_RA_3",2,3,"S2T21","1uM RA","RA",10,"D10",35.7,0.96,6.82,56.5,7.78,63.32,"S2","T21"
"E9","S2D21_D3_NT_5",2,5,"S2D21","No Treatment","NT",3,"D3",85.1,14.9,0.012,0.037,14.912,0.049,"S2","D21"
"E10","S2D21_D4_NT_5",2,5,"S2D21","No Treatment","NT",4,"D4",20.5,79.4,0.022,0.011,79.422,0.033,"S2","D21"
"E11","S2D21_D5_NT_5",2,5,"S2D21","No Treatment","NT",5,"D5",11.6,87.3,1.02,0.02,88.32,1.04,"S2","D21"
"E12","S2D21_D6_NT_5",2,5,"S2D21","No Treatment","NT",6,"D6",11.7,60.5,27.3,0.42,87.8,27.72,"S2","D21"
"F1","S2D21_D7_NT_5",2,5,"S2D21","No Treatment","NT",7,"D7",32.7,32.3,25.2,9.84,57.5,35.04,"S2","D21"
"F2","S2D21_D8_NT_5",2,5,"S2D21","No Treatment","NT",8,"D8",33.4,21.4,24.2,21,45.6,45.2,"S2","D21"
"F3","S2D21_D9_NT_5",2,5,"S2D21","No Treatment","NT",9,"D9",40.6,10.9,16.8,31.7,27.7,48.5,"S2","D21"
"F4","S2D21_D10_NT_5",2,5,"S2D21","No Treatment","NT",10,"D10",34.8,10.5,18.3,36.4,28.8,54.7,"S2","D21"
"F5","S2D21_D4_1uM_RA_5",2,5,"S2D21","1uM RA","RA",4,"D4",50.2,49.8,0.011,0.011,49.811,0.022,"S2","D21"
"F6","S2D21_D5_1uM_RA_5",2,5,"S2D21","1uM RA","RA",5,"D5",48.7,49.9,0.74,0.61,50.64,1.35,"S2","D21"
"F7","S2D21_D6_1uM_RA_5",2,5,"S2D21","1uM RA","RA",6,"D6",47.3,27.8,23.8,1.17,51.6,24.97,"S2","D21"
"F8","S2D21_D7_1uM_RA_5",2,5,"S2D21","1uM RA","RA",7,"D7",59.3,7.19,26.4,7.16,33.59,33.56,"S2","D21"
"F9","S2D21_D8_1uM_RA_5",2,5,"S2D21","1uM RA","RA",8,"D8",44.3,3.2,25.1,27.4,28.3,52.5,"S2","D21"
"F10","S2D21_D9_1uM_RA_5",2,5,"S2D21","1uM RA","RA",9,"D9",46.9,2.04,16.9,34.2,18.94,51.1,"S2","D21"
"F11","S2D21_D10_1uM_RA_5",2,5,"S2D21","1uM RA","RA",10,"D10",41.9,1.09,8.73,48.3,9.82,57.03,"S2","D21"
"F12","S2T21_D3_NT_5",2,5,"S2T21","No Treatment","NT",3,"D3",93.7,6.21,0.01,0.031,6.22,0.041,"S2","T21"
"G1","S2T21_D4_NT_5",2,5,"S2T21","No Treatment","NT",4,"D4",37.5,62.5,0,0.022,62.5,0.022,"S2","T21"
"G2","S2T21_D5_NT_5",2,5,"S2T21","No Treatment","NT",5,"D5",13.6,86.3,0.055,0.014,86.355,0.069,"S2","T21"
"G3","S2T21_D6_NT_5",2,5,"S2T21","No Treatment","NT",6,"D6",14.5,67,17.8,0.62,84.8,18.42,"S2","T21"
"G4","S2T21_D7_NT_5",2,5,"S2T21","No Treatment","NT",7,"D7",22.4,50.8,25.1,1.67,75.9,26.77,"S2","T21"
"G5","S2T21_D8_NT_5",2,5,"S2T21","No Treatment","NT",8,"D8",27.6,32.3,32.9,7.13,65.2,40.03,"S2","T21"
"G6","S2T21_D9_NT_5",2,5,"S2T21","No Treatment","NT",9,"D9",34.5,19.1,32.2,14.1,51.3,46.3,"S2","T21"
"G7","S2T21_D10_NT_5",2,5,"S2T21","No Treatment","NT",10,"D10",40.2,13.5,22.6,23.7,36.1,46.3,"S2","T21"
"G8","S2T21_D4_1uM_RA_5",2,5,"S2T21","1uM RA","RA",4,"D4",71,29,0.02,0.00996,29.02,0.02996,"S2","T21"
"G9","S2T21_D5_1uM_RA_5",2,5,"S2T21","1uM RA","RA",5,"D5",66.4,33.3,0.13,0.19,33.43,0.32,"S2","T21"
"G10","S2T21_D6_1uM_RA_5",2,5,"S2T21","1uM RA","RA",6,"D6",48.9,33.6,16.6,0.95,50.2,17.55,"S2","T21"
"G11","S2T21_D7_1uM_RA_5",2,5,"S2T21","1uM RA","RA",7,"D7",51.4,21.6,24.7,2.27,46.3,26.97,"S2","T21"
"G12","S2T21_D8_1uM_RA_5",2,5,"S2T21","1uM RA","RA",8,"D8",41.9,10.8,38,9.24,48.8,47.24,"S2","T21"
"H1","S2T21_D9_1uM_RA_5",2,5,"S2T21","1uM RA","RA",9,"D9",37.3,6.14,29.6,26.9,35.74,56.5,"S2","T21"
"H2","S2T21_D10_1uM_RA_5",2,5,"S2T21","1uM RA","RA",10,"D10",38.8,2.96,18.2,40.1,21.16,58.3,"S2","T21"
