"label","plate_no","exp_no","cell","treatment","treatment_label","treatment_no","day","day_lb","dbl_neg","isl_pos","islctnt_pos","ctnt_pos","tot_isl","tot_ctnt","set","genotype"
"E4_Sample40.fcs",2,4,"S3T21","NT","No Treatment",0,7,"D7",28.2,30.5,38.9,2.34,69.4,41.24,"S3","T21"
"B5_Sample5.fcs",3,1,"S3T21","NT","No Treatment",0,8,"D8",33.9,16.9,41.2,7.98,58.1,49.18,"S3","T21"
"B6_Sample6.fcs",3,2,"S3T21","NT","No Treatment",0,8,"D8",40.6,15.5,28.9,15,44.4,43.9,"S3","T21"
"B7_Sample7.fcs",3,3,"S3T21","NT","No Treatment",0,8,"D8",35,24.6,33.4,6.99,58,40.39,"S3","T21"
"B8_Sample8.fcs",3,4,"S3T21","NT","No Treatment",0,8,"D8",38.5,18.3,32.8,10.4,51.1,43.2,"S3","T21"
"E1_Sample37.fcs",3,1,"S3T21","NT","No Treatment",0,9,"D9",50.5,8.27,24.3,16.9,32.57,41.2,"S3","T21"
"E2_Sample38.fcs",3,2,"S3T21","NT","No Treatment",0,9,"D9",58.9,10.1,18.3,12.7,28.4,31,"S3","T21"
"E3_Sample39.fcs",3,3,"S3T21","NT","No Treatment",0,9,"D9",47.6,14.5,20.5,17.4,35,37.9,"S3","T21"
"E4_Sample40.fcs",3,4,"S3T21","NT","No Treatment",0,9,"D9",47.4,14.8,21.4,16.4,36.2,37.8,"S3","T21"
"B5_Sample5.fcs",4,1,"S3T21","NT","No Treatment",0,10,"D10",48.7,10.4,18,22.9,28.4,40.9,"S3","T21"
"B6_Sample6.fcs",4,2,"S3T21","NT","No Treatment",0,10,"D10",61.5,8.61,13.9,15.9,22.51,29.8,"S3","T21"
"B7_Sample7.fcs",4,3,"S3T21","NT","No Treatment",0,10,"D10",48.1,11.3,17.5,23.2,28.8,40.7,"S3","T21"
"B8_Sample8.fcs",4,4,"S3T21","NT","No Treatment",0,10,"D10",43.8,11.4,23.2,21.6,34.6,44.8,"S3","T21"
"B9_Sample9.fcs",1,1,"S4D21","NT","No Treatment",0,3,"D3",75.6,23.8,0.13,0.47,23.93,0.6,"S4","D21"
"B10_Sample10.fcs",1,2,"S4D21","NT","No Treatment",0,3,"D3",95.3,4.4,0.032,0.26,4.432,0.292,"S4","D21"
"B11_Sample11.fcs",1,3,"S4D21","NT","No Treatment",0,3,"D3",94.5,5.2,0.00845,0.29,5.20845,0.29845,"S4","D21"
"B12_Sample12.fcs",1,4,"S4D21","NT","No Treatment",0,3,"D3",87.8,11.7,0.095,0.4,11.795,0.495,"S4","D21"
"D9_Sample33.fcs",1,1,"S4D21","NT","No Treatment",0,4,"D4",25,74.9,0.047,0,74.947,0.047,"S4","D21"
"D10_Sample34.fcs",1,2,"S4D21","NT","No Treatment",0,4,"D4",53,47,0.032,0.024,47.032,0.056,"S4","D21"
"D11_Sample35.fcs",1,3,"S4D21","NT","No Treatment",0,4,"D4",50.1,49.8,0.00844,0.042,49.80844,0.05044,"S4","D21"
