sampleID_unique,score,module,sampleID,genotype,treatment_protocol,timepoint,fullSampleID,sex,experimentalBatch,treatment,genotype_treatment,genotype_timepoint,genotype_timepoint_treatment,genotype_timepoint_treatment_batch,seq_run,cell_set,sampleID_original,group,day_num
Set4_SAB61,0.00976548603820826,xu_atrial,SAB61,D21,No Treatment,D6,S4D21_D6_NT_4,M,4,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_4,2,Set4,SAB61,D21_CTRL_D6,6
Set4_SAB62,0.02642438445711559,xu_atrial,SAB62,T21,No Treatment,D6,S4T21_D6_NT_4,M,4,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_4,2,Set4,SAB62,T21_CTRL_D6,6
Set4_SAB63,0.010681703671114207,xu_atrial,SAB63,D21,1uM RA D3-D5,D6,S4D21_D6_RA_4,M,4,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_4,2,Set4,SAB63,D21_RA_D6,6
Set4_SAB64,0.06544567235999366,xu_atrial,SAB64,T21,1uM RA D3-D5,D6,S4T21_D6_RA_4,M,4,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_4,2,Set4,SAB64,T21_RA_D6,6
Set4_SAB65,0.11801855957810437,xu_atrial,SAB65,D21,No Treatment,D8,S4D21_D8_NT_1,M,1,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_1,2,Set4,SAB65,D21_CTRL_D8,8
Set4_SAB66,0.16653453385431416,xu_atrial,SAB66,T21,No Treatment,D8,S4T21_D8_NT_1,M,1,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_1,2,Set4,SAB66,T21_CTRL_D8,8
Set4_SAB67,0.21376983625695334,xu_atrial,SAB67,D21,1uM RA D3-D5,D8,S4D21_D8_RA_1,M,1,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_1,2,Set4,SAB67,D21_RA_D8,8
Set4_SAB68,0.2789868172109522,xu_atrial,SAB68,T21,1uM RA D3-D5,D8,S4T21_D8_RA_1,M,1,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_1,2,Set4,SAB68,T21_RA_D8,8
Set4_SAB69,0.20565746238207872,xu_atrial,SAB69,D21,No Treatment,D10,S4D21_D10_NT_1,M,1,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_1,2,Set4,SAB69,D21_CTRL_D10,10
Set4_SAB70,0.21397166549779945,xu_atrial,SAB70,T21,No Treatment,D10,S4T21_D10_NT_1,M,1,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_1,2,Set4,SAB70,T21_CTRL_D10,10
Set4_SAB71,0.28123597903879916,xu_atrial,SAB71,D21,1uM RA D3-D5,D10,S4D21_D10_RA_1,M,1,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_1,2,Set4,SAB71,D21_RA_D10,10
Set4_SAB72,0.3030074008895006,xu_atrial,SAB72,T21,1uM RA D3-D5,D10,S4T21_D10_RA_1,M,1,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_1,2,Set4,SAB72,T21_RA_D10,10
Set4_SAB74,0.13320366893615665,xu_atrial,SAB74,T21,No Treatment,D8,S4T21_D8_NT_3,M,3,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_3,2,Set4,SAB74,T21_CTRL_D8,8
Set4_SAB76,0.2796024689959794,xu_atrial,SAB76,T21,1uM RA D3-D5,D8,S4T21_D8_RA_3,M,3,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_3,2,Set4,SAB76,T21_RA_D8,8
Set4_SAB78,0.2189665762065105,xu_atrial,SAB78,T21,No Treatment,D10,S4T21_D10_NT_3,M,3,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_3,2,Set4,SAB78,T21_CTRL_D10,10
Set4_SAB80,0.3016686486588519,xu_atrial,SAB80,T21,1uM RA D3-D5,D10,S4T21_D10_RA_3,M,3,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_3,2,Set4,SAB80,T21_RA_D10,10
Set4_SAB81,0.11120428168392382,xu_atrial,SAB81,D21,No Treatment,D8,S4D21_D8_NT_4,M,4,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_4,2,Set4,SAB81,D21_CTRL_D8,8
Set4_SAB82,0.15966798363876344,xu_atrial,SAB82,T21,No Treatment,D8,S4T21_D8_NT_4,M,4,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_4,2,Set4,SAB82,T21_CTRL_D8,8
Set4_SAB83,0.2037248385003071,xu_atrial,SAB83,D21,1uM RA D3-D5,D8,S4D21_D8_RA_4,M,4,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_4,2,Set4,SAB83,D21_RA_D8,8
Set4_SAB84,0.27324412190486147,xu_atrial,SAB84,T21,1uM RA D3-D5,D8,S4T21_D8_RA_4,M,4,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_4,2,Set4,SAB84,T21_RA_D8,8
Set4_SAB85,0.20500260635602385,xu_atrial,SAB85,D21,No Treatment,D10,S4D21_D10_NT_4,M,4,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_4,2,Set4,SAB85,D21_CTRL_D10,10
